treatment,species,fishID,daysExposed,daysUntilExp,tank,tankFishIdentifier,left,right,max,total,relLat,absLat,number,score
Control,Acanthochromis,1,0,11,3,1-Mar,1,9,9,10,80,80,1,1
Control,Acanthochromis,1,0,11,3,1-Mar,1,9,9,10,80,80,2,1
Control,Acanthochromis,1,0,11,3,1-Mar,1,9,9,10,80,80,3,1
Control,Acanthochromis,1,0,11,3,1-Mar,1,9,9,10,80,80,4,1
Control,Acanthochromis,1,0,11,3,1-Mar,1,9,9,10,80,80,5,1
Control,Acanthochromis,1,0,11,3,1-Mar,1,9,9,10,80,80,6,1
Control,Acanthochromis,1,0,11,3,1-Mar,1,9,9,10,80,80,7,1
Control,Acanthochromis,1,0,11,3,1-Mar,1,9,9,10,80,80,8,1
Control,Acanthochromis,1,0,11,3,1-Mar,1,9,9,10,80,80,9,1
Control,Acanthochromis,1,0,11,3,1-Mar,1,9,9,10,80,80,10,0
Control,Acanthochromis,2,0,11,3,2-Mar,9,1,9,10,-80,80,1,1
Control,Acanthochromis,2,0,11,3,2-Mar,9,1,9,10,-80,80,2,0
Control,Acanthochromis,2,0,11,3,2-Mar,9,1,9,10,-80,80,3,0
Control,Acanthochromis,2,0,11,3,2-Mar,9,1,9,10,-80,80,4,0
Control,Acanthochromis,2,0,11,3,2-Mar,9,1,9,10,-80,80,5,0
Control,Acanthochromis,2,0,11,3,2-Mar,9,1,9,10,-80,80,6,0
Control,Acanthochromis,2,0,11,3,2-Mar,9,1,9,10,-80,80,7,0
Control,Acanthochromis,2,0,11,3,2-Mar,9,1,9,10,-80,80,8,0
Control,Acanthochromis,2,0,11,3,2-Mar,9,1,9,10,-80,80,9,0
Control,Acanthochromis,2,0,11,3,2-Mar,9,1,9,10,-80,80,10,0
Control,Acanthochromis,3,0,11,4,1-Apr,5,5,5,10,0,0,1,1
Control,Acanthochromis,3,0,11,4,1-Apr,5,5,5,10,0,0,2,1
Control,Acanthochromis,3,0,11,4,1-Apr,5,5,5,10,0,0,3,1
Control,Acanthochromis,3,0,11,4,1-Apr,5,5,5,10,0,0,4,1
Control,Acanthochromis,3,0,11,4,1-Apr,5,5,5,10,0,0,5,1
Control,Acanthochromis,3,0,11,4,1-Apr,5,5,5,10,0,0,6,0
Control,Acanthochromis,3,0,11,4,1-Apr,5,5,5,10,0,0,7,0
Control,Acanthochromis,3,0,11,4,1-Apr,5,5,5,10,0,0,8,0
Control,Acanthochromis,3,0,11,4,1-Apr,5,5,5,10,0,0,9,0
Control,Acanthochromis,3,0,11,4,1-Apr,5,5,5,10,0,0,10,0
Control,Acanthochromis,4,0,11,4,2-Apr,5,5,5,10,0,0,1,1
Control,Acanthochromis,4,0,11,4,2-Apr,5,5,5,10,0,0,2,1
Control,Acanthochromis,4,0,11,4,2-Apr,5,5,5,10,0,0,3,1
Control,Acanthochromis,4,0,11,4,2-Apr,5,5,5,10,0,0,4,1
Control,Acanthochromis,4,0,11,4,2-Apr,5,5,5,10,0,0,5,1
Control,Acanthochromis,4,0,11,4,2-Apr,5,5,5,10,0,0,6,0
Control,Acanthochromis,4,0,11,4,2-Apr,5,5,5,10,0,0,7,0
Control,Acanthochromis,4,0,11,4,2-Apr,5,5,5,10,0,0,8,0
Control,Acanthochromis,4,0,11,4,2-Apr,5,5,5,10,0,0,9,0
Control,Acanthochromis,4,0,11,4,2-Apr,5,5,5,10,0,0,10,0
Control,Acanthochromis,5,0,11,7,1-Jul,1,9,9,10,80,80,1,1
Control,Acanthochromis,5,0,11,7,1-Jul,1,9,9,10,80,80,2,1
Control,Acanthochromis,5,0,11,7,1-Jul,1,9,9,10,80,80,3,1
Control,Acanthochromis,5,0,11,7,1-Jul,1,9,9,10,80,80,4,1
Control,Acanthochromis,5,0,11,7,1-Jul,1,9,9,10,80,80,5,1
Control,Acanthochromis,5,0,11,7,1-Jul,1,9,9,10,80,80,6,1
Control,Acanthochromis,5,0,11,7,1-Jul,1,9,9,10,80,80,7,1
Control,Acanthochromis,5,0,11,7,1-Jul,1,9,9,10,80,80,8,1
Control,Acanthochromis,5,0,11,7,1-Jul,1,9,9,10,80,80,9,1
Control,Acanthochromis,5,0,11,7,1-Jul,1,9,9,10,80,80,10,0
Control,Acanthochromis,6,0,11,7,2-Jul,1,9,9,10,80,80,1,1
Control,Acanthochromis,6,0,11,7,2-Jul,1,9,9,10,80,80,2,1
Control,Acanthochromis,6,0,11,7,2-Jul,1,9,9,10,80,80,3,1
Control,Acanthochromis,6,0,11,7,2-Jul,1,9,9,10,80,80,4,1
Control,Acanthochromis,6,0,11,7,2-Jul,1,9,9,10,80,80,5,1
Control,Acanthochromis,6,0,11,7,2-Jul,1,9,9,10,80,80,6,1
Control,Acanthochromis,6,0,11,7,2-Jul,1,9,9,10,80,80,7,1
Control,Acanthochromis,6,0,11,7,2-Jul,1,9,9,10,80,80,8,1
Control,Acanthochromis,6,0,11,7,2-Jul,1,9,9,10,80,80,9,1
Control,Acanthochromis,6,0,11,7,2-Jul,1,9,9,10,80,80,10,0
Control,Acanthochromis,7,0,11,8,1-Aug,6,4,6,10,-20,20,1,1
Control,Acanthochromis,7,0,11,8,1-Aug,6,4,6,10,-20,20,2,1
Control,Acanthochromis,7,0,11,8,1-Aug,6,4,6,10,-20,20,3,1
Control,Acanthochromis,7,0,11,8,1-Aug,6,4,6,10,-20,20,4,1
Control,Acanthochromis,7,0,11,8,1-Aug,6,4,6,10,-20,20,5,0
Control,Acanthochromis,7,0,11,8,1-Aug,6,4,6,10,-20,20,6,0
Control,Acanthochromis,7,0,11,8,1-Aug,6,4,6,10,-20,20,7,0
Control,Acanthochromis,7,0,11,8,1-Aug,6,4,6,10,-20,20,8,0
Control,Acanthochromis,7,0,11,8,1-Aug,6,4,6,10,-20,20,9,0
Control,Acanthochromis,7,0,11,8,1-Aug,6,4,6,10,-20,20,10,0
Control,Acanthochromis,8,0,11,8,2-Aug,1,9,9,10,80,80,1,1
Control,Acanthochromis,8,0,11,8,2-Aug,1,9,9,10,80,80,2,1
Control,Acanthochromis,8,0,11,8,2-Aug,1,9,9,10,80,80,3,1
Control,Acanthochromis,8,0,11,8,2-Aug,1,9,9,10,80,80,4,1
Control,Acanthochromis,8,0,11,8,2-Aug,1,9,9,10,80,80,5,1
Control,Acanthochromis,8,0,11,8,2-Aug,1,9,9,10,80,80,6,1
Control,Acanthochromis,8,0,11,8,2-Aug,1,9,9,10,80,80,7,1
Control,Acanthochromis,8,0,11,8,2-Aug,1,9,9,10,80,80,8,1
Control,Acanthochromis,8,0,11,8,2-Aug,1,9,9,10,80,80,9,1
Control,Acanthochromis,8,0,11,8,2-Aug,1,9,9,10,80,80,10,0
CO2,Acanthochromis,9,11,11,1,2-Jan,3,7,7,10,40,40,1,1
CO2,Acanthochromis,9,11,11,1,2-Jan,3,7,7,10,40,40,2,1
CO2,Acanthochromis,9,11,11,1,2-Jan,3,7,7,10,40,40,3,1
CO2,Acanthochromis,9,11,11,1,2-Jan,3,7,7,10,40,40,4,1
CO2,Acanthochromis,9,11,11,1,2-Jan,3,7,7,10,40,40,5,1
CO2,Acanthochromis,9,11,11,1,2-Jan,3,7,7,10,40,40,6,1
CO2,Acanthochromis,9,11,11,1,2-Jan,3,7,7,10,40,40,7,1
CO2,Acanthochromis,9,11,11,1,2-Jan,3,7,7,10,40,40,8,0
CO2,Acanthochromis,9,11,11,1,2-Jan,3,7,7,10,40,40,9,0
CO2,Acanthochromis,9,11,11,1,2-Jan,3,7,7,10,40,40,10,0
CO2,Acanthochromis,10,11,11,2,1-Feb,1,9,9,10,80,80,1,1
CO2,Acanthochromis,10,11,11,2,1-Feb,1,9,9,10,80,80,2,1
CO2,Acanthochromis,10,11,11,2,1-Feb,1,9,9,10,80,80,3,1
CO2,Acanthochromis,10,11,11,2,1-Feb,1,9,9,10,80,80,4,1
CO2,Acanthochromis,10,11,11,2,1-Feb,1,9,9,10,80,80,5,1
CO2,Acanthochromis,10,11,11,2,1-Feb,1,9,9,10,80,80,6,1
CO2,Acanthochromis,10,11,11,2,1-Feb,1,9,9,10,80,80,7,1
CO2,Acanthochromis,10,11,11,2,1-Feb,1,9,9,10,80,80,8,1
CO2,Acanthochromis,10,11,11,2,1-Feb,1,9,9,10,80,80,9,1
CO2,Acanthochromis,10,11,11,2,1-Feb,1,9,9,10,80,80,10,0
CO2,Acanthochromis,11,11,11,2,2-Feb,4,6,6,10,20,20,1,1
CO2,Acanthochromis,11,11,11,2,2-Feb,4,6,6,10,20,20,2,1
CO2,Acanthochromis,11,11,11,2,2-Feb,4,6,6,10,20,20,3,1
CO2,Acanthochromis,11,11,11,2,2-Feb,4,6,6,10,20,20,4,1
CO2,Acanthochromis,11,11,11,2,2-Feb,4,6,6,10,20,20,5,1
CO2,Acanthochromis,11,11,11,2,2-Feb,4,6,6,10,20,20,6,1
CO2,Acanthochromis,11,11,11,2,2-Feb,4,6,6,10,20,20,7,0
CO2,Acanthochromis,11,11,11,2,2-Feb,4,6,6,10,20,20,8,0
CO2,Acanthochromis,11,11,11,2,2-Feb,4,6,6,10,20,20,9,0
CO2,Acanthochromis,11,11,11,2,2-Feb,4,6,6,10,20,20,10,0
CO2,Acanthochromis,12,11,11,6,1-Jun,5,5,5,10,0,0,1,1
CO2,Acanthochromis,12,11,11,6,1-Jun,5,5,5,10,0,0,2,1
CO2,Acanthochromis,12,11,11,6,1-Jun,5,5,5,10,0,0,3,1
CO2,Acanthochromis,12,11,11,6,1-Jun,5,5,5,10,0,0,4,1
CO2,Acanthochromis,12,11,11,6,1-Jun,5,5,5,10,0,0,5,1
CO2,Acanthochromis,12,11,11,6,1-Jun,5,5,5,10,0,0,6,0
CO2,Acanthochromis,12,11,11,6,1-Jun,5,5,5,10,0,0,7,0
CO2,Acanthochromis,12,11,11,6,1-Jun,5,5,5,10,0,0,8,0
CO2,Acanthochromis,12,11,11,6,1-Jun,5,5,5,10,0,0,9,0
CO2,Acanthochromis,12,11,11,6,1-Jun,5,5,5,10,0,0,10,0
CO2,Acanthochromis,13,11,11,6,2-Jun,2,8,8,10,60,60,1,1
CO2,Acanthochromis,13,11,11,6,2-Jun,2,8,8,10,60,60,2,1
CO2,Acanthochromis,13,11,11,6,2-Jun,2,8,8,10,60,60,3,1
CO2,Acanthochromis,13,11,11,6,2-Jun,2,8,8,10,60,60,4,1
CO2,Acanthochromis,13,11,11,6,2-Jun,2,8,8,10,60,60,5,1
CO2,Acanthochromis,13,11,11,6,2-Jun,2,8,8,10,60,60,6,1
CO2,Acanthochromis,13,11,11,6,2-Jun,2,8,8,10,60,60,7,1
CO2,Acanthochromis,13,11,11,6,2-Jun,2,8,8,10,60,60,8,1
CO2,Acanthochromis,13,11,11,6,2-Jun,2,8,8,10,60,60,9,0
CO2,Acanthochromis,13,11,11,6,2-Jun,2,8,8,10,60,60,10,0
CO2,Acanthochromis,14,11,11,6,3-Jun,5,5,5,10,0,0,1,1
CO2,Acanthochromis,14,11,11,6,3-Jun,5,5,5,10,0,0,2,1
CO2,Acanthochromis,14,11,11,6,3-Jun,5,5,5,10,0,0,3,1
CO2,Acanthochromis,14,11,11,6,3-Jun,5,5,5,10,0,0,4,1
CO2,Acanthochromis,14,11,11,6,3-Jun,5,5,5,10,0,0,5,1
CO2,Acanthochromis,14,11,11,6,3-Jun,5,5,5,10,0,0,6,0
CO2,Acanthochromis,14,11,11,6,3-Jun,5,5,5,10,0,0,7,0
CO2,Acanthochromis,14,11,11,6,3-Jun,5,5,5,10,0,0,8,0
CO2,Acanthochromis,14,11,11,6,3-Jun,5,5,5,10,0,0,9,0
CO2,Acanthochromis,14,11,11,6,3-Jun,5,5,5,10,0,0,10,0
CO2,Acanthochromis,15,11,11,5,1-May,5,5,5,10,0,0,1,1
CO2,Acanthochromis,15,11,11,5,1-May,5,5,5,10,0,0,2,1
CO2,Acanthochromis,15,11,11,5,1-May,5,5,5,10,0,0,3,1
CO2,Acanthochromis,15,11,11,5,1-May,5,5,5,10,0,0,4,1
CO2,Acanthochromis,15,11,11,5,1-May,5,5,5,10,0,0,5,1
CO2,Acanthochromis,15,11,11,5,1-May,5,5,5,10,0,0,6,0
CO2,Acanthochromis,15,11,11,5,1-May,5,5,5,10,0,0,7,0
CO2,Acanthochromis,15,11,11,5,1-May,5,5,5,10,0,0,8,0
CO2,Acanthochromis,15,11,11,5,1-May,5,5,5,10,0,0,9,0
CO2,Acanthochromis,15,11,11,5,1-May,5,5,5,10,0,0,10,0
Control,Ambon,16,0,8,7,1-Jul,1,9,9,10,80,80,1,1
Control,Ambon,16,0,8,7,1-Jul,1,9,9,10,80,80,2,1
Control,Ambon,16,0,8,7,1-Jul,1,9,9,10,80,80,3,1
Control,Ambon,16,0,8,7,1-Jul,1,9,9,10,80,80,4,1
Control,Ambon,16,0,8,7,1-Jul,1,9,9,10,80,80,5,1
Control,Ambon,16,0,8,7,1-Jul,1,9,9,10,80,80,6,1
Control,Ambon,16,0,8,7,1-Jul,1,9,9,10,80,80,7,1
Control,Ambon,16,0,8,7,1-Jul,1,9,9,10,80,80,8,1
Control,Ambon,16,0,8,7,1-Jul,1,9,9,10,80,80,9,1
Control,Ambon,16,0,8,7,1-Jul,1,9,9,10,80,80,10,0
Control,Ambon,17,0,8,7,2-Jul,6,4,6,10,-20,20,1,1
Control,Ambon,17,0,8,7,2-Jul,6,4,6,10,-20,20,2,1
Control,Ambon,17,0,8,7,2-Jul,6,4,6,10,-20,20,3,1
Control,Ambon,17,0,8,7,2-Jul,6,4,6,10,-20,20,4,1
Control,Ambon,17,0,8,7,2-Jul,6,4,6,10,-20,20,5,0
Control,Ambon,17,0,8,7,2-Jul,6,4,6,10,-20,20,6,0
Control,Ambon,17,0,8,7,2-Jul,6,4,6,10,-20,20,7,0
Control,Ambon,17,0,8,7,2-Jul,6,4,6,10,-20,20,8,0
Control,Ambon,17,0,8,7,2-Jul,6,4,6,10,-20,20,9,0
Control,Ambon,17,0,8,7,2-Jul,6,4,6,10,-20,20,10,0
Control,Ambon,18,0,8,7,3-Jul,5,5,5,10,0,0,1,1
Control,Ambon,18,0,8,7,3-Jul,5,5,5,10,0,0,2,1
Control,Ambon,18,0,8,7,3-Jul,5,5,5,10,0,0,3,1
Control,Ambon,18,0,8,7,3-Jul,5,5,5,10,0,0,4,1
Control,Ambon,18,0,8,7,3-Jul,5,5,5,10,0,0,5,1
Control,Ambon,18,0,8,7,3-Jul,5,5,5,10,0,0,6,0
Control,Ambon,18,0,8,7,3-Jul,5,5,5,10,0,0,7,0
Control,Ambon,18,0,8,7,3-Jul,5,5,5,10,0,0,8,0
Control,Ambon,18,0,8,7,3-Jul,5,5,5,10,0,0,9,0
Control,Ambon,18,0,8,7,3-Jul,5,5,5,10,0,0,10,0
Control,Ambon,19,0,8,7,4-Jul,6,4,6,10,-20,20,1,1
Control,Ambon,19,0,8,7,4-Jul,6,4,6,10,-20,20,2,1
Control,Ambon,19,0,8,7,4-Jul,6,4,6,10,-20,20,3,1
Control,Ambon,19,0,8,7,4-Jul,6,4,6,10,-20,20,4,1
Control,Ambon,19,0,8,7,4-Jul,6,4,6,10,-20,20,5,0
Control,Ambon,19,0,8,7,4-Jul,6,4,6,10,-20,20,6,0
Control,Ambon,19,0,8,7,4-Jul,6,4,6,10,-20,20,7,0
Control,Ambon,19,0,8,7,4-Jul,6,4,6,10,-20,20,8,0
Control,Ambon,19,0,8,7,4-Jul,6,4,6,10,-20,20,9,0
Control,Ambon,19,0,8,7,4-Jul,6,4,6,10,-20,20,10,0
Control,Ambon,20,0,8,7,5-Jul,5,5,5,10,0,0,1,1
Control,Ambon,20,0,8,7,5-Jul,5,5,5,10,0,0,2,1
Control,Ambon,20,0,8,7,5-Jul,5,5,5,10,0,0,3,1
Control,Ambon,20,0,8,7,5-Jul,5,5,5,10,0,0,4,1
Control,Ambon,20,0,8,7,5-Jul,5,5,5,10,0,0,5,1
Control,Ambon,20,0,8,7,5-Jul,5,5,5,10,0,0,6,0
Control,Ambon,20,0,8,7,5-Jul,5,5,5,10,0,0,7,0
Control,Ambon,20,0,8,7,5-Jul,5,5,5,10,0,0,8,0
Control,Ambon,20,0,8,7,5-Jul,5,5,5,10,0,0,9,0
Control,Ambon,20,0,8,7,5-Jul,5,5,5,10,0,0,10,0
Control,Ambon,21,0,8,7,6-Jul,6,4,6,10,-20,20,1,1
Control,Ambon,21,0,8,7,6-Jul,6,4,6,10,-20,20,2,1
Control,Ambon,21,0,8,7,6-Jul,6,4,6,10,-20,20,3,1
Control,Ambon,21,0,8,7,6-Jul,6,4,6,10,-20,20,4,1
Control,Ambon,21,0,8,7,6-Jul,6,4,6,10,-20,20,5,0
Control,Ambon,21,0,8,7,6-Jul,6,4,6,10,-20,20,6,0
Control,Ambon,21,0,8,7,6-Jul,6,4,6,10,-20,20,7,0
Control,Ambon,21,0,8,7,6-Jul,6,4,6,10,-20,20,8,0
Control,Ambon,21,0,8,7,6-Jul,6,4,6,10,-20,20,9,0
Control,Ambon,21,0,8,7,6-Jul,6,4,6,10,-20,20,10,0
Control,Ambon,22,0,8,8,1-Aug,4,6,6,10,20,20,1,1
Control,Ambon,22,0,8,8,1-Aug,4,6,6,10,20,20,2,1
Control,Ambon,22,0,8,8,1-Aug,4,6,6,10,20,20,3,1
Control,Ambon,22,0,8,8,1-Aug,4,6,6,10,20,20,4,1
Control,Ambon,22,0,8,8,1-Aug,4,6,6,10,20,20,5,1
Control,Ambon,22,0,8,8,1-Aug,4,6,6,10,20,20,6,1
Control,Ambon,22,0,8,8,1-Aug,4,6,6,10,20,20,7,0
Control,Ambon,22,0,8,8,1-Aug,4,6,6,10,20,20,8,0
Control,Ambon,22,0,8,8,1-Aug,4,6,6,10,20,20,9,0
Control,Ambon,22,0,8,8,1-Aug,4,6,6,10,20,20,10,0
Control,Ambon,23,0,8,8,2-Aug,2,8,8,10,60,60,1,1
Control,Ambon,23,0,8,8,2-Aug,2,8,8,10,60,60,2,1
Control,Ambon,23,0,8,8,2-Aug,2,8,8,10,60,60,3,1
Control,Ambon,23,0,8,8,2-Aug,2,8,8,10,60,60,4,1
Control,Ambon,23,0,8,8,2-Aug,2,8,8,10,60,60,5,1
Control,Ambon,23,0,8,8,2-Aug,2,8,8,10,60,60,6,1
Control,Ambon,23,0,8,8,2-Aug,2,8,8,10,60,60,7,1
Control,Ambon,23,0,8,8,2-Aug,2,8,8,10,60,60,8,1
Control,Ambon,23,0,8,8,2-Aug,2,8,8,10,60,60,9,0
Control,Ambon,23,0,8,8,2-Aug,2,8,8,10,60,60,10,0
Control,Ambon,24,0,8,8,3-Aug,5,5,5,10,0,0,1,1
Control,Ambon,24,0,8,8,3-Aug,5,5,5,10,0,0,2,1
Control,Ambon,24,0,8,8,3-Aug,5,5,5,10,0,0,3,1
Control,Ambon,24,0,8,8,3-Aug,5,5,5,10,0,0,4,1
Control,Ambon,24,0,8,8,3-Aug,5,5,5,10,0,0,5,1
Control,Ambon,24,0,8,8,3-Aug,5,5,5,10,0,0,6,0
Control,Ambon,24,0,8,8,3-Aug,5,5,5,10,0,0,7,0
Control,Ambon,24,0,8,8,3-Aug,5,5,5,10,0,0,8,0
Control,Ambon,24,0,8,8,3-Aug,5,5,5,10,0,0,9,0
Control,Ambon,24,0,8,8,3-Aug,5,5,5,10,0,0,10,0
Control,Ambon,25,0,9,3,1-Mar,2,8,8,10,60,60,1,1
Control,Ambon,25,0,9,3,1-Mar,2,8,8,10,60,60,2,1
Control,Ambon,25,0,9,3,1-Mar,2,8,8,10,60,60,3,1
Control,Ambon,25,0,9,3,1-Mar,2,8,8,10,60,60,4,1
Control,Ambon,25,0,9,3,1-Mar,2,8,8,10,60,60,5,1
Control,Ambon,25,0,9,3,1-Mar,2,8,8,10,60,60,6,1
Control,Ambon,25,0,9,3,1-Mar,2,8,8,10,60,60,7,1
Control,Ambon,25,0,9,3,1-Mar,2,8,8,10,60,60,8,1
Control,Ambon,25,0,9,3,1-Mar,2,8,8,10,60,60,9,0
Control,Ambon,25,0,9,3,1-Mar,2,8,8,10,60,60,10,0
Control,Ambon,26,0,9,3,2-Mar,5,5,5,10,0,0,1,1
Control,Ambon,26,0,9,3,2-Mar,5,5,5,10,0,0,2,1
Control,Ambon,26,0,9,3,2-Mar,5,5,5,10,0,0,3,1
Control,Ambon,26,0,9,3,2-Mar,5,5,5,10,0,0,4,1
Control,Ambon,26,0,9,3,2-Mar,5,5,5,10,0,0,5,1
Control,Ambon,26,0,9,3,2-Mar,5,5,5,10,0,0,6,0
Control,Ambon,26,0,9,3,2-Mar,5,5,5,10,0,0,7,0
Control,Ambon,26,0,9,3,2-Mar,5,5,5,10,0,0,8,0
Control,Ambon,26,0,9,3,2-Mar,5,5,5,10,0,0,9,0
Control,Ambon,26,0,9,3,2-Mar,5,5,5,10,0,0,10,0
Control,Ambon,27,0,9,3,3-Mar,8,2,8,10,-60,60,1,1
Control,Ambon,27,0,9,3,3-Mar,8,2,8,10,-60,60,2,1
Control,Ambon,27,0,9,3,3-Mar,8,2,8,10,-60,60,3,0
Control,Ambon,27,0,9,3,3-Mar,8,2,8,10,-60,60,4,0
Control,Ambon,27,0,9,3,3-Mar,8,2,8,10,-60,60,5,0
Control,Ambon,27,0,9,3,3-Mar,8,2,8,10,-60,60,6,0
Control,Ambon,27,0,9,3,3-Mar,8,2,8,10,-60,60,7,0
Control,Ambon,27,0,9,3,3-Mar,8,2,8,10,-60,60,8,0
Control,Ambon,27,0,9,3,3-Mar,8,2,8,10,-60,60,9,0
Control,Ambon,27,0,9,3,3-Mar,8,2,8,10,-60,60,10,0
Control,Ambon,28,0,9,3,4-Mar,4,6,6,10,20,20,1,1
Control,Ambon,28,0,9,3,4-Mar,4,6,6,10,20,20,2,1
Control,Ambon,28,0,9,3,4-Mar,4,6,6,10,20,20,3,1
Control,Ambon,28,0,9,3,4-Mar,4,6,6,10,20,20,4,1
Control,Ambon,28,0,9,3,4-Mar,4,6,6,10,20,20,5,1
Control,Ambon,28,0,9,3,4-Mar,4,6,6,10,20,20,6,1
Control,Ambon,28,0,9,3,4-Mar,4,6,6,10,20,20,7,0
Control,Ambon,28,0,9,3,4-Mar,4,6,6,10,20,20,8,0
Control,Ambon,28,0,9,3,4-Mar,4,6,6,10,20,20,9,0
Control,Ambon,28,0,9,3,4-Mar,4,6,6,10,20,20,10,0
Control,Ambon,29,0,9,3,5-Mar,6,4,6,10,-20,20,1,1
Control,Ambon,29,0,9,3,5-Mar,6,4,6,10,-20,20,2,1
Control,Ambon,29,0,9,3,5-Mar,6,4,6,10,-20,20,3,1
Control,Ambon,29,0,9,3,5-Mar,6,4,6,10,-20,20,4,1
Control,Ambon,29,0,9,3,5-Mar,6,4,6,10,-20,20,5,0
Control,Ambon,29,0,9,3,5-Mar,6,4,6,10,-20,20,6,0
Control,Ambon,29,0,9,3,5-Mar,6,4,6,10,-20,20,7,0
Control,Ambon,29,0,9,3,5-Mar,6,4,6,10,-20,20,8,0
Control,Ambon,29,0,9,3,5-Mar,6,4,6,10,-20,20,9,0
Control,Ambon,29,0,9,3,5-Mar,6,4,6,10,-20,20,10,0
Control,Ambon,30,0,9,4,1-Apr,10,0,10,10,-100,100,1,0
Control,Ambon,30,0,9,4,1-Apr,10,0,10,10,-100,100,2,0
Control,Ambon,30,0,9,4,1-Apr,10,0,10,10,-100,100,3,0
Control,Ambon,30,0,9,4,1-Apr,10,0,10,10,-100,100,4,0
Control,Ambon,30,0,9,4,1-Apr,10,0,10,10,-100,100,5,0
